code,name,gender,function,disciplines
1550675,BOUROVA Roumiana,Female,Judge,['Rhythmic Gymnastics']
1550689,DEUTSCH LAZSANYI Erika,Female,Judge,['Rhythmic Gymnastics']
1550693,FILIPSKY Rebecca,Female,Judge,['Trampoline Gymnastics']
1550694,GAIDA Viola,Female,Judge,['Trampoline Gymnastics']
1550695,OLIVEIRA Joao,Male,Judge,['Trampoline Gymnastics']
1550700,HALMU Delia,Female,Judge,['Rhythmic Gymnastics']
1550707,JONES Andrew,Male,Judge,['Trampoline Gymnastics']
1550709,KHOPERIA Rusudan,Female,Judge,['Trampoline Gymnastics']
1550715,LHER Catherine Marie Andree,Female,Judge,['Rhythmic Gymnastics']
1550723,MLEJNKOVA Blanka,Female,Judge,['Rhythmic Gymnastics']
1550724,MROZINSKA Anna,Female,Judge,['Rhythmic Gymnastics']
1550725,NAVA ACEVES Paulina,Female,Judge,['Trampoline Gymnastics']
1550729,PAZOS SANCHEZ RUBIO Maria Inmacula.,Female,Judge,['Trampoline Gymnastics']
1550730,PITKANEN Saila,Female,Judge,['Rhythmic Gymnastics']
1550736,REHOROVA Martina,Female,Judge,['Trampoline Gymnastics']
1550753,SUZUKI Aoi,Female,Judge,['Rhythmic Gymnastics']
1550762,van WETERING Babette,Female,Judge,['Trampoline Gymnastics']
1550763,VANGELOVA Mariya,Female,Judge,['Trampoline Gymnastics']
1550776,BEKTUROVA Alua,Female,Judge,['Rhythmic Gymnastics']
1557225,STROOBANTS Marine,Female,Referee,['Judo']
1560199,FISCHER Matthias,Male,Referee,['Judo']
1560200,LAMPE Nusa,Female,Referee,['Judo']
1560201,CHYURLIA Pasquale,Male,Referee,['Judo']
1560211,FREITAS Leandra,Female,Referee,['Judo']
1562036,SHMAKOV Vladimir,Male,Referee,['Judo']
1562711,MIGLIORINI Sergio,Male,Medical Delegate,['Triathlon']
1563015,BOUHEDDOU Mohamed,Male,Referee,['Judo']
1563830,SZOKE Andor,Male,Referee,['Judo']
1563872,GALEA Louisa,Female,Referee,['Judo']
1563891,BILIC Miroslav,Male,Referee,['Judo']
1563909,DELIU Denisa,Female,Referee,['Judo']
1563980,BEREGSZASZI Zita,Female,Referee,['Judo']
1564197,SANCHEZ del CAMPO Ana,Female,Jury Chair,['Sailing']
1564543,WU Jingyu,Female,Referee,['Taekwondo']
1564544,MAGABLEH Maher,Male,Referee,['Taekwondo']
1564548,KIM Song Chul,Male,Referee,['Taekwondo']
1566303,ANDERSEN Jacob,Male,Jury Member,['Sailing']
1566308,FERRANDIZ RUIZ Luis,Male,Jury Member,['Sailing']
1566313,NAPIER Jon,Male,Jury Member,['Sailing']
1566318,HEREDIA Gonzalo,Male,Jury Member,['Sailing']
1566319,YOVKOVA Iskra,Female,Jury Member,['Sailing']
1566455,BOROCZ Bence,Male,Jury Member,['Sailing']
1566468,JEONG Sungchul,Male,Jury Member,['Sailing']
1566473,GROSVENOR Sandy,Female,Jury Member,['Sailing']
1566474,GUERRA Rodrigo,Male,Jury Member,['Sailing']
1566475,LEWANDOWSKA Anastazja,Female,Jury Member,['Sailing']
1566476,LINDSAY Chris,Male,Jury Member,['Sailing']
1566480,MOOKKEN Selvam,Male,Jury Member,['Sailing']
1566482,ORTENDAHL Christina,Female,Jury Member,['Sailing']
1566488,SCOTT Luke,Male,Jury Member,['Sailing']
1566489,STANIKIC Mina,Female,Jury Member,['Sailing']
1570413,D'URBANO Francesco Jacopo,Male,Judge,['Skateboarding']
1571122,ALSHATHRI A Rahman,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1571123,KIM Nellia,Female,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1571124,TITOV Vasilii,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1571143,ALIPRANDI Elena,Female,Judge,['Rhythmic Gymnastics']
1571146,DRAGAS Spela,Female,Judge,['Rhythmic Gymnastics']
1571149,IEROMINA Nataliia,Female,Judge,['Rhythmic Gymnastics']
1893012,CHIARI Roberto,Male,Referee,['Basketball']
1893016,THOMSON Mike,Male,Referee,['Basketball']
1893040,DUPUCHE Crystal,Female,Referee,['Basketball']
1893057,VAQUERA Alejandro,Male,Referee,['Basketball']
1893105,SHAFAGHI Shahrad,Male,Referee,['Basketball']
1893111,KAUPPINEN Hannu,Male,Referee,['Basketball']
1893239,CASTRO Antonio,Male,Referee,['Judo']
1893241,MURADOV Abdullo,Male,Referee,['Judo']
1894925,AMANTINO Giseli,Female,Referee,['Beach Volleyball']
1894929,BOCK Stephen,Male,Referee,['Volleyball']
1894942,CARVALHO Rui Jorge,Male,Referee,['Beach Volleyball']
1894943,HIEBERT Brian,Male,Referee,['Beach Volleyball']
1894944,RENE Karina,Female,Referee,['Volleyball']
